Detail,Name,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,lat,long,Pet_Friendly_Beach,Pets_Allowed,Yes,Showers,Campsite Electricity,Sanitation Station,Pressurized Water Spigots
State Park,Lakeport State Park  ,St. Clair,Lakeport State Park,Modern,194,0,43.13127311,-82.49461501,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Lakeport State Park  ,St. Clair,Lakeport State Park,Modern,56,0,43.12513107,-82.49432814,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Leelanau State Park  ,Leelanau,Leelanau State Park,Rustic,52,0,45.2099004,-85.54268175,No,Yes,,,,,
State Park,Ludington State Park Beechwood,Mason,Ludington State Park,Modern,144,0,44.0380394,-86.4947158,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Ludington State Park Cedars,Mason,Ludington State Park,Modern,105,4,44.03847918,-86.50092855,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Ludington State Park Jackpine,Mason,Ludington State Park,Rustic,10,0,44.04410719,-86.51039617,No,Yes,,,,,
State Park,Ludington State Park Pines,Mason,Ludington State Park,Modern,97,5,44.03533463,-86.50517087,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Mclain State Park  ,Houghton,Mclain State Park,Modern,103,0,47.23841482,-88.60382615,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Mears State Park  ,Oceana,Mears State Park,Modern,178,0,43.78385732,-86.43823159,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Metamora-Hadley Recreation Area  ,Lapeer,Metamora-Hadley Recreation Area,Modern,125,0,42.93633425,-83.34825307,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Metamora-Hadley Recreation Area  ,Lapeer,Metamora-Hadley Recreation Area,Modern,88,0,42.94247864,-83.35049416,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Mitchell State Park  ,Wexford,Mitchell State Park,Modern,225,11,44.23794311,-85.45245857,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Muskallonge Lake State Park  ,Luce,Muskallonge Lake State Park,Modern,171,0,46.67571971,-85.63102758,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Muskegon State Park Channel,Muskegon,Muskegon State Park,Modern,116,0,43.2348091,-86.32953708,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Muskegon State Park Lake Michigan,Muskegon,Muskegon State Park,Modern,86,0,43.26174957,-86.35774078,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Newaygo State Park Oak,Newaygo,Newaygo State Park,Rustic,51,0,43.5051867,-85.58887189,No,Yes,,,,,
State Park,Newaygo State Park Poplar,Newaygo,Newaygo State Park,Rustic,48,1,43.50374963,-85.58477794,No,Yes,,,,,
State Park,North Higgins Lake  State Park East,Crawford,North Higgins Lake  State Park,Modern,93,0,44.51368754,-84.76338211,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,North Higgins Lake State Park West,Crawford,North Higgins Lake State Park,Modern,82,0,44.51395581,-84.75297718,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Onaway State Park  ,Presque Isle,Onaway State Park,Modern,85,0,45.4357204,-84.23287,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Orchard Beach State Park  ,Manistee,Orchard Beach State Park,Modern,168,0,44.28141345,-86.31563755,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Ortonville Recreation Area  ,Oakland,Ortonville Recreation Area,Equestrian,25,0,42.89684828,-83.40938891,No,Yes,,,,,
State Park,Otsego Lake State Park North,Otsego,Otsego Lake State Park,Modern,99,4,44.93406963,-84.6876257,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Otsego Lake State Park South,Otsego,Otsego Lake State Park,Modern,52,0,44.92893328,-84.69083036,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Petoskey State Park  ,Emmet,Petoskey State Park,Group,1,0,45.40901507,-84.90835871,No,Yes,,,,,
State Park,Petoskey State Park Dune,Emmet,Petoskey State Park,Modern,80,0,45.40399606,-84.91007888,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Petoskey State Park Tannery Creek,Emmet,Petoskey State Park,Modern,100,5,45.39518977,-84.91283479,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Pickney Recreation Areas  ,Washtenaw,Pickney Recreation Areas,Rustic,20,0,42.42255137,-83.98004283,No,Yes,,,,,
State Park,Pickney Recreation Areas Bruin Lake,Washtenaw,Pickney Recreation Areas,Modern,185,0,42.42276523,-84.04362278,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Pontiac Lake Recreation Area  ,Oakland,Pontiac Lake Recreation Area,Modern,176,0,42.68476501,-83.47012746,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Pontiac Lake Recreation Area  ,Oakland,Pontiac Lake Recreation Area,Equestrian,1,0,42.68914366,-83.45904669,No,Yes,,,,,
State Park,Porcupine Mountains State Park  ,Ontonagon,Porcupine Mountains State Park,Group,10,0,46.81835544,-89.61267985,Yes,Yes,,,,,
State Park,Porcupine Mountains State Park Lost Creek,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,46.75392086,-89.67938619,No,Yes,,,,,
State Park,Porcupine Mountains State Park Presque Isle,Ontonagon,Porcupine Mountains State Park,Rustic,50,0,46.70618926,-89.97879568,No,Yes,,,,,
State Park,Porcupine Mountains State Park Union Bay,Ontonagon,Porcupine Mountains State Park,Modern,101,0,46.8240408,-89.6404144,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Porcupine Mountains State Park Union River,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,46.7978123,-89.6225127,No,Yes,,,,,
State Park,Porcupine Mountains State Park White Pine,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,46.74271797,-89.7266035,No,Yes,,,,,
State Park,Port Crescent State Park  ,Huron,Port Crescent State Park,Modern,137,0,44.009838,-83.05193107,Yes,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Proud Lake Recreation Area  ,Oakland,Proud Lake Recreation Area,Modern,128,0,42.56260808,-83.52611174,No,Yes,Yes,Yes,Yes,Yes,Yes
State Park,Rifle River Recreation Area  ,Ogemaw,Rifle River Recreation Area,Rustic,1,0,44.40037985,-84.0383455,No,Yes,,,,,
State Park,Rifle River Recreation Area Devoe Lake,Ogemaw,Rifle River Recreation Area,Rustic,38,0,44.39809017,-84.02905354,No,Yes,,,,,
State Park,Rifle River Recreation Area Grousehaven,Ogemaw,Rifle River Recreation Area,Modern,80,0,44.41459561,-84.02432796,No,Yes,Yes,Yes,Yes,Yes,Yes
